"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_INORGANIC_ION_HOMEOSTASIS",0.0773628048780488,0.193046117006972,0.278197187614007,1.19744967867362,405,269,"AnxB10;Appl;Pka-C1;dnc;dpp;eag;kel;Ca-alpha1D;Pkc53E;put;sei;Sh;sl;slo;Sod1;inaC;trpl;Wnt5;CG10939;Dop1R1;CalpA;Cyp6a8;Cyp6a22;Calx;Ptp69D;gcm;Mlp84B;Diap2;Cyp6a17;nrv2;CG5989;Ork1;Mitofilin;14-3-3epsilon;Pdk1;KrT95D;CG3740;Ac78C;gbb;foi;Irp-1A;Scgdelta;SkpA;goe;CG6230;CG7601;Rh50;Nckx30C"
"GOBP_GMP_METABOLIC_PROCESS",0.0777306682818494,0.193235238615602,-0.554020545828693,-1.42530980516292,384,15,"Pfas;Gart;ras;Prat;CASK;Paics"
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",0.0775146731430885,0.193235238615602,-0.538300862181297,-1.42795135430611,382,17,"asp;aurA;CycB"
"GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE",0.077964047667138,0.193235238615602,-0.546614054922622,-1.42877852031554,385,16,"cact;if;mys;Jhe;Atet;CG4757;CG4822;CG5853"
"GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY",0.0776816260817066,0.193235238615602,-0.487964088026665,-1.39681657518527,385,23,"ena;Gdi;cdi;tsr;Cdc2rk;Kank"
"GOBP_POTASSIUM_ION_TRANSPORT",0.0778466305189775,0.193235238615602,0.335869679180385,1.2759274918826,401,100,"eag;Actn;Gbeta13F;Khc;dlg1;Ca-alpha1D;na;sei;Sh;Shaw;slo;Shal;Dop1R1;nrv2;Ork1;Mo25;14-3-3epsilon;goe;Nhe3;Nckx30C;SK;CG2076;Nep6;CG4239"
"GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE",0.077919449504149,0.193235238615602,-0.536999233301699,-1.42449852178807,384,17,"exd;Atpalpha;C15;Hr38;PHDP;tio"
"GOBP_SMOOTHENED_SIGNALING_PATHWAY",0.0778361548939482,0.193235238615602,0.347537716286415,1.28679058757446,399,85,"Pka-C1;fkh;fy;in;hyd;run;smo;alphaTub85E;tup;ci;Su(fu);dpn;Sas-4;toy;rasp;Gas8;slpr;CG15208;Cluap1;IFT57;CG14020;ihog;Wnt10"
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",0.0778918814183298,0.193235238615602,0.383929433263258,1.32691560648682,401,58,"bru1;crn;SmF;snf;heph;Hel25E;Ddx1;SmD3;SF1;CG8565;Usp39;Sf3b1;CG4887;Sf3b2;Dim1;CG3294;Phf5a"
"GOBP_MAMMARY_GLAND_MORPHOGENESIS",0.0780998389694042,0.193408860478104,-0.482641838478045,-1.39447884073723,387,24,"arr;bsh;ptc;htl;Phb2;Rel;Hr96;NetB;Stat92E"
"GOBP_ADAPTIVE_THERMOGENESIS",0.0782786885245902,0.19368873140399,-0.34843788653045,-1.29532221895756,381,84,"Galphas;gro;Hsf;kn;LanA;per;rk;sesB;Su(H);hop;Tbh;Shark;ksr;Rbf;Stat92E;yps;Lip3;Pgam5"
"GOBP_AORTA_DEVELOPMENT",0.0784275376491297,0.193731163529588,0.445838860669422,1.367887473093,400,33,"eya;robo2;so;tkv;pros;N;Su(fu);dpn;AP-1-2beta;Dad;PlexB"
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.0783628136569313,0.193731163529588,-0.294004563016088,-1.22075541324575,380,184,"Abl;E(z);FER;Hsc70-2;CIAPIN1;RpS3;mnd;Atpalpha;Pu;stau;Tm2;PpD3;Ccs;Aldh-III;Dif;Mvl;Nos;tsr;Irbp;nmo;Pxn;mtd;Hr38;Cul1;P5cr;Drip;ko;Gcn5;Rack1;Sin3A;fray;Roc1a;CalpB;Eaat1;glob1;Ogg1;sut3;Sur;Spn27A"
"GOBP_EPIGENETIC_PROGRAMMING_OF_GENE_EXPRESSION",0.0785382596406218,0.193841912636501,-0.553701514717946,-1.4244890446808,388,15,"esc;gro;sgg;Axn"
"GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",0.0788302606484425,0.194355206872909,-0.263448721151147,-1.17046337467158,371,346,"adp;cn;Cyp6a2;Eno;Fbp2;ftz-f1;Gapdh1;Gpdh1;Hex-C;Men;Pepck1;per;Pfk;Pgi;mts;Su(P);Mdr49;Gad1;Pgd;Arl2;nvy;Vha55;Jhe;GstS1;Uch;htl;wal;Sply;poe;Pglym87;ND-ACP;AcCoAS;Cyp6a9;Hydr2;Cyp9b2;Cyp9c1;Cpr;Ugt36A1;ATPCL;Gcn5;Lip3;chico;Plap;fidipidine;Ugt35B1;Ugt35A1;Eaat1;Ugt37C1;Ugt37A1;Ugt49B1;CG4757;glob1;Mtch;Sur;Cyp28a5;trbl;Men-b;Las;CG3603;CG3626;Sirt4;CG5966;raptor;Btnd"
